uri	id	word	definition	synset	pos
"http://wordnet-rdf.princeton.edu/id/00003826-v"	"00003826-v"	"hiccough"	"breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water""		"verb"
"http://wordnet-rdf.princeton.edu/id/00003828-s"	"00003828-s"	"parturient"	"giving birth; "a parturient heifer""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00003864-r"	"00003864-r"	"basically"	"in essence; at bottom or by one's (or its) very nature; "He is basically dishonest"; "the argument was essentially a technical one"; "for all his bluster he is in essence a shy person""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00003938-a"	"00003938-a"	"dying"	"in or associated with the process of passing from life or ceasing to be; "a dying man"; "his dying wish"; "a dying fire"; "a dying civilization""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00003993-n"	"00003993-n"	"congener"	"a whole (a thing or person) of the same kind or category as another; "lard was also used, though its congener, butter, was more frequently employed"; "the American shopkeeper differs from his European congener""		"noun"
"http://wordnet-rdf.princeton.edu/id/00004032-v"	"00004032-v"	"sigh"	"heave or utter a sigh; breathe deeply and heavily; "She sighed sadly""		"verb"
"http://wordnet-rdf.princeton.edu/id/00004152-r"	"00004152-r"	"blessedly"	"in a blessed manner"		"adverb"
"http://wordnet-rdf.princeton.edu/id/00004170-s"	"00004170-s"	"moribund"	"being on the point of death; breathing your last; "a moribund patient""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00004227-r"	"00004227-r"	"boiling"	"extremely; "boiling mad""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00004227-v"	"00004227-v"	"breathe out"	"expel air; "Exhale when you lift the weight""		"verb"
"http://wordnet-rdf.princeton.edu/id/00004258-n"	"00004258-n"	"animate thing"	"a living (or once living) entity"		"noun"
"http://wordnet-rdf.princeton.edu/id/00004295-s"	"00004295-s"	"last"	"occurring at the time of death; "his last words"; "the last rites""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00004306-r"	"00004306-r"	"enviably"	"in an enviable manner; "she was enviably fluent in French""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00004412-a"	"00004412-a"	"abridged"	"(used of texts) shortened by condensing or rewriting; "an abridged version""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00004419-r"	"00004419-r"	"pointedly"	"in such a manner as to make something clearly evident; "he pointedly ignored the question""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00004475-n"	"00004475-n"	"organism"	"a living thing that has (or can develop) the ability to act or function independently"		"noun"
"http://wordnet-rdf.princeton.edu/id/00004492-v"	"00004492-v"	"hold"	"keep from exhaling or expelling; "hold your breath""		"verb"
"http://wordnet-rdf.princeton.edu/id/00004565-r"	"00004565-r"	"negatively"	"in a negative way; "he was negatively inclined""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00004605-v"	"00004605-v"	"give forth"	"give out (breath or an odor); "The chimney exhales a thick smoke""		"verb"
"http://wordnet-rdf.princeton.edu/id/00004614-s"	"00004614-s"	"cut"	"with parts removed; "the drastically cut film""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00004669-r"	"00004669-r"	"negatively"	"in a harmful manner; "he was negatively affected""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00004722-s"	"00004722-s"	"half-length"	"abridged to half its original length"		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00004775-r"	"00004775-r"	"kindly"	"in a kind manner or out of kindness; "He spoke kindly to the boy"; "she kindly overlooked the mistake""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00004816-s"	"00004816-s"	"potted"	"(British informal) summarized or abridged; "a potted version of a novel""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00004819-v"	"00004819-v"	"sneeze"	"exhale spasmodically, as when an irritant entered one's nose; "Pepper makes me sneeze""		"verb"
"http://wordnet-rdf.princeton.edu/id/00004948-r"	"00004948-r"	"unkindly"	"in an unkind manner or with unkindness; "The teacher treats the children unkindly""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00004979-a"	"00004979-a"	"unabridged"	"(used of texts) not shortened; "an unabridged novel""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00005041-v"	"00005041-v"	"breathe in"	"draw in (air); "Inhale deeply"; "inhale the fresh mountain air"; "The patient has trouble inspiring"; "The lung cancer patient cannot inspire air very well""		"verb"
"http://wordnet-rdf.princeton.edu/id/00005103-r"	"00005103-r"	"just"	"and nothing more; "I was merely asking"; "it is simply a matter of time"; "just a scratch"; "he was only a child"; "hopes that last but a moment""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00005106-s"	"00005106-s"	"full-length"	"complete; "the full-length play""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00005204-a"	"00005204-a"	"absolute"	"perfect or complete or pure; "absolute loyalty"; "absolute silence"; "absolute truth"; "absolute alcohol""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00005348-r"	"00005348-r"	"simply"	"absolutely; altogether; really; "we are simply broke""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00005436-r"	"00005436-r"	"plainly"	"in a simple manner; without extravagance or embellishment; "she was dressed plainly"; "they lived very simply""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00005472-s"	"00005472-s"	"direct"	"lacking compromising or mitigating elements; exact; "the direct opposite""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00005526-v"	"00005526-v"	"pant"	"breathe noisily, as when one is exhausted; "The runners reached the finish line, panting heavily""		"verb"
"http://wordnet-rdf.princeton.edu/id/00005591-r"	"00005591-r"	"anciently"	"in ancient times; long ago; "a concern with what may have happened anciently""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00005598-s"	"00005598-s"	"unquestioning"	"being without doubt or reserve; "implicit trust""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00005717-s"	"00005717-s"	"infinite"	"total and all-embracing; "God's infinite wisdom""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00005724-r"	"00005724-r"	"arguably"	"as can be shown by argument; "she is arguably the best""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00005787-n"	"00005787-n"	"benthos"	"organisms (plants and animals) that live at or near the bottom of a sea"		"noun"
"http://wordnet-rdf.princeton.edu/id/00005815-v"	"00005815-v"	"cough"	"exhale abruptly, as when one has a chest cold or congestion; "The smoker coughs all day""		"verb"
"http://wordnet-rdf.princeton.edu/id/00005834-r"	"00005834-r"	"unabashedly"	"in an unabashed manner; "unabashedly, he asked for more""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00005838-s"	"00005838-s"	"living"	"(informal) absolute; "she is a living doll"; "scared the living daylights out of them"; "beat the living hell out of him""		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00005930-n"	"00005930-n"	"dwarf"	"a plant or animal that is atypically small"		"noun"
"http://wordnet-rdf.princeton.edu/id/00005948-r"	"00005948-r"	"automatically"	"in a reflex manner; "he answered automatically""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00006024-n"	"00006024-n"	"heterotroph"	"an organism that depends on complex organic substances for nutrition"		"noun"
"http://wordnet-rdf.princeton.edu/id/00006050-a"	"00006050-a"	"relative"	"estimated by comparison; not absolute or complete; "a relative stranger""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00006055-r"	"00006055-r"	"alarmingly"	"in an alarming manner; "It grew alarmingly fast""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00006100-v"	"00006100-v"	"hack"	"cough spasmodically; "The patient with emphysema is hacking all day""		"verb"
"http://wordnet-rdf.princeton.edu/id/00006150-n"	"00006150-n"	"parent"	"an organism (plant or animal) from which younger ones are obtained"		"noun"
"http://wordnet-rdf.princeton.edu/id/00006160-r"	"00006160-r"	"immensely"	"to an exceedingly great extent or degree; "He had vastly overestimated his resources"; "was immensely more important to the project as a scientist than as an administrator""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00006238-v"	"00006238-v"	"expectorate"	"discharge (phlegm or sputum) from the lungs and out of the mouth"		"verb"
"http://wordnet-rdf.princeton.edu/id/00006263-s"	"00006263-s"	"relational"	"having a relation or being related"		"adjective_satellite"
"http://wordnet-rdf.princeton.edu/id/00006269-n"	"00006269-n"	"life"	"living things collectively; "the oceans are teeming with life""		"noun"
"http://wordnet-rdf.princeton.edu/id/00006354-a"	"00006354-a"	"absorbent"	"having power or capacity or tendency to absorb or soak up something (liquids or energy etc.); "as absorbent as a sponge""		"adjective"
"http://wordnet-rdf.princeton.edu/id/00006400-n"	"00006400-n"	"biont"	"a discrete unit of living matter"		"noun"
"http://wordnet-rdf.princeton.edu/id/00006415-r"	"00006415-r"	"grossly"	"in a gross manner"		"adverb"
"http://wordnet-rdf.princeton.edu/id/00006484-n"	"00006484-n"	"cell"	"(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals"		"noun"
"http://wordnet-rdf.princeton.edu/id/00006486-r"	"00006486-r"	"largely"	"in large part; mainly or chiefly; "These accounts are largely inactive""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00006523-v"	"00006523-v"	"snort"	"make a snorting sound by exhaling hard; "The critic snorted contemptuously""		"verb"
"http://wordnet-rdf.princeton.edu/id/00006640-r"	"00006640-r"	"significantly"	"in a significant manner; "our budget will be significantly affected by these new cuts""		"adverb"
"http://wordnet-rdf.princeton.edu/id/00006697-v"	"00006697-v"	"wheeze"	"breathe with difficulty"		"verb"
